review,ac,air_panas,bau,general,kebersihan,linen,service,sunrise_meal,tv,wifi
"fasilitasnya not bad!atitude karyawanya tdk memuaskan,dan hotelnya serem banyak hantu",neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
Penginapan ini cukup rensentatif dan sayangnya air panasnya tidak maksimal,neut,neg,neut,neut,neut,neut,neut,neut,neut,neut
"Pelayanan baik, kamar bersih, dekat dgn kuliner, hanya gak ada hot water.. Siap2 kedinginan...",neut,neg,neut,neut,pos,neut,pos,neut,neut,neut
"hanya wifi yg kurang memuaskan, wifi tidak bisa dipakai, selebihnya tidak masalah",neut,neut,neut,pos,neut,neut,neut,neut,neut,neg
"Kecewa bgt, di mulai dari pelayanan di awal nya yg lelet bgt ngasih kunci kamar, penjaga nya malah berantem dulu, kamar yg kotor (  kaya jarang di bersihin ) debu dimana mana, peralatan tidur nya bau apek, AC rusak kamar mandi nya kotor bgt, gaada peralatan mandi kaya di airy yg lain, pkoknya kecewa bgt gak sesuai sm yg di tawarkan di aplikasi airy",neg,neut,neut,neg,neg,neg,neg,neut,neut,neut
agak jorok wcnya dan spraynya gak bersh,neut,neut,neut,neut,neg,neg,neut,neut,neut,neut
"Air asin, kamar kotor dan wc kotor.",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"ga da wifi d lantai 2,kamar mandi ga da gantungan handuk or baju,over all bagus,n recomended",neut,neut,neut,pos,neut,neg,neut,neut,neut,neg
"Manajemen yg sangat buruk,, sudah terbit voucher hotel, tapi sampai disana malah kamar full",neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
"air panas tidak berfungsi, kebersihan kamar kurang",neut,neg,neut,neut,neg,neut,neut,neut,neut,neut
"klo sekedar untuk tidur lumayan lah , tidak ada tempat untuk parkir mobil, fasilitas kamar ok untuk harga segitu . kekurangannya harus tingkatkan lg kebersihan kamar, seprei diganti jangan sampai banyak serangga.",neut,neut,neut,neut,neg,neg,neut,neut,neut,neut
sangat baik semua nya..hanya tdk ada air panas utk mandi..sdg di perbaiki..,neut,neg,neut,pos,neut,neut,neut,neut,neut,neut
"Kurang ramah resepsionistnya,tvnya juga gk bersih chanelnya",neut,neut,neut,neut,neut,neut,neg,neut,neg,neut
"ac kamar berisik, staf hotel tidak ramah, makanan kurang sip",neg,neut,neut,neut,neut,neut,neg,neg,neut,neut
ada perbaikan air tapi ga dikasih tau sehingga sempat mandi air kotor pelayanannya kurang ramah,neut,neut,neut,neut,neg,neut,neg,neut,neut,neut
"kamar terlalu luas, sayang cuma bisa untuk 2 orang jadi lebih keliatan mubazir. + kamar bersih, bed bersih, toilet bersih. fasilitas ok lah. harga murah banget, pake kupon diskon. - wifi ga bisa connect. sarapan kurang sesuai (sambel lontong terlalu pedas). keep goin' airy!",neut,neut,neut,neut,neg,pos,neut,neg,neut,neg
"tolong harus ada stok selimut cadangan lah, masak selimut bekas dan bau sekali ga diganti dengan alasan semua selimut dipakai,",neut,neut,neut,neut,neut,neg,neut,neut,neut,neut
"Saya batal menginap karena tempatnya agak jorok, bau tidak enak. Baru masuk gerbang sudah di sambut dengan jemuran cucian",neut,neut,neg,neut,neg,neut,neut,neut,neut,neut
"bagus tempatnya luas, tp sayang agak sedikit kotor",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"Menurut saya tidak ada ruang resepsionis, jadi kalau mau ketemu petugasnya bingung. Terus kemarin masuk kantor ada 2 orang sepertinya pemilikinya tapi tidak ramah. Mereka berdua asik makan sedangkan yang jaga melayani saya. Seharusnya sebagai pemilik sekedar basa basi dan membuat tamu nyaman ini tidak sama sekali makan saja. Air ditoilet pas mandi eh habis air sedang sampoan lagi itu. Sama ruang penginapan dan kost sepertinya nyatu dalam 1 gedung. Seharusnya untuk kost sendiri untuk penginapan yg pakai online atau airy room dipisah, oh ya spreinya sepertinya tidak di ganti. Soalnya bikin gatal akhirnya saya tidur di atas bedcover. Saran di perbaiki lagi pelayanannya biar bagus. Sama kalau bisa ruang penginapan kasih jendela yang menghadap pemandangan. Jangan menghadap lorong kan kelihatan orang lain kalau yang suami istri atau ganti baju. Walaupun pakai korden.",neut,neut,neut,neut,neut,neg,neg,neut,neut,neut
"smuanya ok tpi snack gk ada, ktanya blum dikirim dri pihak airy nya, remote tv tdk berfungsi. ",neut,neut,neut,pos,neut,neg,neut,neut,neg,neut
"Kamarnya bau tidak enak, ACnya tidak dingin..",neg,neut,neg,neut,neut,neut,neut,neut,neut,neut
"Kamar no. 6 shower air hangat tidak berfungsi dengan baik, banyak rambut diselimut.",neut,neg,neut,neut,neut,neg,neut,neut,neut,neut
"Lokasi sangat strategis, dekat dengan landmark Palembang dan kuliner khas Palembang di sekelilingnya. Pada saat keluarga dan saya menginap di sana WIFI tidak berfungsi. Tidak ada shower air panas.",neut,neg,neut,neut,neut,neut,neut,neut,neut,neg
Bagus... air panas nya tidak menyala,neut,neg,neut,neut,neut,neut,neut,neut,neut,neut
kamar nya kurang dingin Krn AC nya rusak. penanganan pindah kamar lama,neg,neut,neut,neut,neut,neut,neg,neut,neut,neut
"lumayan, keseluruhan nyaman sayangnya, ada beberapa hal yang harus diperhatikan, kurangnya kebersihan pada kamar, ada bekas rexona di bawah kasur dari tamu awal, tapi selebihnya luar biasa. nyaman, wifi cepat. pelayanan yang baik. terimakasih. rekomended buat backpacker yang bingung nyari tempat untuk menginap, terimakasih airy. anda memang keceeee",neut,neut,neut,pos,neg,neut,pos,neut,neut,pos
datang langsung ditolak karena Miss comunication antara airy dan pemilik tempat tv nya rusak hordeng ga tertutup rapet kamarnya besar banget air nya kurang panas dikit kasur nyaman banget ada meja kursi jg buat kerja ada kulkas buat nyimpen makanan & minuman,neut,neg,neut,neut,neut,pos,neg,neut,neg,neut
"Toiletnya kotor, banjir, dan tidak bisa di flush sangat mengecewakan. AC kurang dingin. pelayanan lu",neg,neut,neut,neut,neg,neut,neut,neut,neut,neut
kebersihannya perlu ditingkatkan lagi.... males banget pas baru masuk bau asap rokok gitu...,neut,neut,neg,neut,neg,neut,neut,neut,neut,neut
"Kamar kotor seperti tidak pernah dibersihkan, seprei tidak diganti, kamar mandi wastafelnya bocor lampu sangat redup tembok berkarat sampai berearna hitam, air panas tidak nyala, tv gambarnya buram. Hotel seperti tidak terawat padahal di foto terlihat bagus tapi ternyata hanya gambar saja. Mohon segera ditingkatkan kualitasnya",neut,neg,neut,neut,neg,neg,neut,neut,neg,neut
"ac tidak dingin,  bangunan lama, naik ke lantai 3 dgn tangga, no Wifi,  service dari para petugas hotel yang kurang memuaskan, kualitas kebersihan kurang,  tidak seperti layaknya kualitas hotel airy lain nya, mohon standard hotel airy room lebih di tingkatkan lagi, terima kasih",neg,neut,neut,neut,neg,neut,neg,neut,neut,neg
"Sepreynya bolong,remote tvnya g ada, saluran tvnya g jelas karna antenanya g ada jd g bs nonton, untungnya hanya semalem nginepnya",neut,neut,neut,neut,neut,neg,neut,neut,neg,neut
"pelayanan dari cleaning service lambat,  wifi putus nyambung, cuma menang tempat strategis",neut,neut,neut,neut,neut,neut,neg,neut,neut,neg
"wifi nya di lantai 2 lagi rusak, banyak serangga2 kecil, sinyal telkomsel dan 3 tidak masuk jd hp gak bisa dihubungin. pelayanan kamar oke. semua fasilitas berfungsi. ",neut,neut,neut,neut,neg,neut,pos,neut,neut,neg
"Sdh sering kesana.. semua nya OK. Cuma pas terakhir menginap, pendingin ruangan 308 TIDAK dingin. ",neg,neut,neut,pos,neut,neut,neut,neut,neut,neut
"pelayanan ramah, kamar nyaman, cuma agak sempit. tv tidak terlalu jelas, ada semutnya.",neut,neut,neut,neut,neut,neut,pos,neut,neg,neut
Pelayanan bagus...mohon AC nya segera diservice supaya lebih dingin lagi...,neg,neut,neut,neut,neut,neut,pos,neut,neut,neut
ac nya sering mati sendiri,neg,neut,neut,neut,neut,neut,neut,neut,neut,neut
"kamar yang bocor,servisnya kurang, kebersihan",neut,neut,neut,neut,neg,neut,neg,neut,neut,neut
untuk AC di harap bisa lebih baik dan bisa di kondisionalkan kembali... terkadang AC tidak bsa d remote.. untuk air panas supaya di aktifkan...,neg,neg,neut,neut,neut,neut,neut,neut,neut,neut
"air kecil, kolam kotor,ac ga dingin,sedih bgt deh, tp petugasnya baik",neg,neut,neut,neut,neut,neut,pos,neut,neut,neut
"lokasinya sih bagus, bangunannya juga bersih, tapiii penjaganya agak kurang bersahabat. hati2 yaa kalo dateng bertiga bisa diminta ongkos tambahan, padahal waktu itu gara2 roomnya penuh. agak kapok sih nginap disini. apalagi suka banjir juga.",neut,neut,neut,neut,pos,neut,neg,neut,neut,neut
kamar bersih.selimut kotor dan kasar lagi.ga ada remote ac.trus panas. tv tabung kecil 20 inc.air kencang.wifi ga nyampe kamar.cma 1 garis.palayanan lambat pas cek in ga ada resepsionisnya nunggu lama baru siap.,neg,neut,neut,neut,pos,neg,neg,neut,neg,neg
breakfast enak .. fasilitas cukup baik.. hanya jalan masuk ke hotel sangat kecil.. hanya muat 1 mobil medium mpv.. kalo rombongan naik hi ace tdk muat.. dan ada kamar yg bau lembab ..mungkin pihak manajemen bisa melakukan perbaikan.. tapi overall ok hotel ini ... harga terjangkau ...tingkatkan terus pak nyoman .. recomended hotel with low budget,neut,neut,neg,pos,neut,neut,neut,pos,neut,neut
"baik,hanya aroma airnya yg kurang mendukung saat mandi seperti bau got",neut,neut,neg,neut,neut,neut,neut,neut,neut,neut
Panas sekali waktu malam. Wifi nya tidak berfungsi,neg,neut,neut,neut,neut,neut,neut,neut,neut,neg
"Pas di kantong harga okay kagak lebay, harga dan kamar berbanding lurus, siaran TV hanya kompas TV dan TV dangdut aja.",neut,neut,neut,neut,neut,neut,neut,neut,neg,neut
Kebersihan kamar (lantai) perlu ditingkatkan lagi,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
udah enak to kurang bersih,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"hanya jaringan wifi saja yg perlu diperbaiki, selebihny sudah ok",neut,neut,neut,pos,neut,neut,neut,neut,neut,neg
Handuk kelihatan kotor dan ada bercak-bercak... tidak putih lagi  dan sobek sobek pinggirnya.,neut,neut,neut,neut,neg,neg,neut,neut,neut,neut
kamar sesuai harga.. pelayanan staff sangat baik. ada air panas. tapi sepray kuning smua. handuknya coklat bau belum kering. tidak ada lift tapi saya betah disana,neut,pos,neut,neut,neut,neg,pos,neut,neut,neut
Kamar apek dan kebersihannya kurang diperhatikan.,neut,neut,neg,neut,neg,neut,neut,neut,neut,neut
Kotor makanan pagi nasi goreng saja. tapi ibunya baik ramah,neut,neut,neut,neut,neg,neut,pos,neg,neut,neut
"Cukup nyaman, kamar bersih, kamar mandi lumayan. Cm 1 yg kurang: layar tv mati sendiri tp suara ada, ini trjdi di kmr deluxe. Over all hotel ini recomended. ",neut,neut,neut,pos,pos,neut,neut,neut,neg,neut
"Toilet kotor n jorok, gak ada air mineral, snack n perlengkapan mandi seperti yang diiklankan..buruk.. ",neut,neut,neut,neut,neg,neg,neut,neut,neut,neut
"ac nya lumayan dingin dan air acnya bocor jadi basah lantainya, wifinya ga ada alasannya dalam perbaikan. menu makanannya dari sekalian banyak cuma 2 aja yg tersedia, untuk kamar bagus dan luas. Terimakasih. ",neg,neut,neut,neut,neut,neut,neut,neg,neut,neg
"pelayannan-nya ramah banget ❤️👍 dan kalau’pun kurang paham mereka menjelaskan lagi sampai kita paham, sarapannya juga enak ,hanya saja sedikit tidak bersih kasur-nya mungkin bisa lebih baik lagi kedepan-nya , AC -nya dingin 👍 ada air hangat-nya juga untuk shower, over all it’s good not bad 😊.",pos,pos,neut,pos,neut,neg,pos,pos,neut,neut
"Parkiran jauh. Kolam renang depan kamar Y12 bau, kotor. Baru mau masuk kamar, sampah berserakan di depan pintu. Masuk kamar, lantai licin, karna ngepelnya kebanyakan sabun mungkin. Tidak ada sandal hotel lagi. Kamar mandi showernya patah juga.",neut,neut,neut,neut,neg,neg,neut,neut,neut,neut
air panasnya tidak stabil,neut,neg,neut,neut,neut,neut,neut,neut,neut,neut
"Kurang baik, kurang terasat dan kurang bersih. Koper saya di masuki kelabang di dalam kamar. Bahaya banget.",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"Sudah cukup baik, tapi fasilitas kamar masih kurang, sepetti TV, kamar mandi, ac tidak dingin, dan meja yg terlalu kecil, ",neg,neut,neut,neut,neut,neut,neut,neut,neg,neut
"AC nya kurang dingin, selimutnya sangat tipis.",neg,neut,neut,neut,neut,neg,neut,neut,neut,neut
kamar bau dan kotor. kamar mandi kotor bau air panas ngga keluar,neut,neg,neg,neut,neg,neut,neut,neut,neut,neut
Air asin..kmr kotor..wc kotor..,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"Kamar masih ada bau debu. Kamar mandi showernya mampet, ga ada air panas jg :’)",neut,neg,neg,neut,neut,neut,neut,neut,neut,neut
ac kurang dingin..yang lainnya sudah ok,neg,neut,neut,pos,neut,neut,neut,neut,neut,neut
wifi buruk suka down,neut,neut,neut,neut,neut,neut,neut,neut,neut,neg
"air panas kecil,makanannya ala kadarnya dan tidak sesuai dengan tarif hotel kalau cuma itu saja",neut,neg,neut,neut,neut,neut,neut,neg,neut,neut
cek in jam 10 . dapet kamar yg di bilang cadangan di lantai 4 . soal jauh nya kamar juga kondisi tv ( kecil juga tabung ) yg berbeda dengan kamar lain di bawah masih bisa di tolerir lah tapi maaf soal AC nya ga bisa di tolerir . ga bisa istrahat karena kepanasan di dalam kamar . mohon utk di perhatikan lagi perlengkapan kamar demi kenyamanan cust.,neg,neut,neut,neut,neut,neut,neut,neut,neg,neut
"Tidak ada makanan ringan sama sekali, tidak ada ada air minum, tidak ada air panas,kamar berbeda den",neut,neg,neut,neut,neut,neg,neut,neut,neut,neut
Kecewa dengan hotel ini karena wifi bermasalah staff uda di panggil tapi ga bs menyelesaikan masalah. Dan di dpn kamar ada telpon yang sangat mengganggu tidur karena selalu berdering terus ,neut,neut,neut,neut,neut,neut,neut,neut,neut,neg
"pas dateng airy nya belum disiapkan, sampai checkout juga blm dikasih fasilitas airynya.. ",neut,neut,neut,neut,neut,neg,neut,neut,neut,neut
hotel bersih dan nyaman. tp kok ga dpt box snak sm peralatan khas airy ya...tp males ih komplain.,neut,neut,neut,neut,pos,neg,neut,neut,neut,neut
